ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
8101126,2.04E-39,1.38E-41,-27.266534,84.477138,7.43340023,CXCL10,C-X-C motif chemokine ligand 10
8101131,1.19E-52,1.46E-55,-42.398643,116.533854,7.04562271,CXCL11,C-X-C motif chemokine ligand 11
8101118,5.67E-75,2.10E-79,-87.182671,169.447041,6.77942926,CXCL9,C-X-C motif chemokine ligand 9
7929047,1.17E-41,6.18E-44,-29.4222,89.888108,6.04513824,IFIT2,interferon induced protein with tetratricopeptide repeats 2
8040080,1.21E-44,4.60E-47,-32.513787,97.082371,5.81430965,RSAD2,radical S-adenosyl methionine domain containing 2
7917561,1.38E-64,1.53E-68,-62.943464,145.774344,5.74183382,GBP4,guanylate binding protein 4
8131803,3.65E-59,1.35E-62,-52.578303,132.470904,5.73394312,IL6,interleukin 6
8054722,7.58E-50,1.32E-52,-38.690492,109.786468,5.66478091,IL1B,interleukin 1 beta
8054712,3.81E-45,1.34E-47,-33.070566,98.313565,5.61107972,IL1A,interleukin 1 alpha
8045688,1.53E-53,1.76E-56,-43.616058,118.626511,5.5756496,TNFAIP6,TNF alpha induced protein 6
8073056,5.02E-38,3.85E-40,-26.003848,81.140063,5.48909482,APOBEC3A_B///APOBEC3A,APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A
7929065,7.16E-38,5.68E-40,-25.859684,80.750706,5.33237446,IFIT1,interferon induced protein with tetratricopeptide repeats 1
8146092,1.34E-38,9.64E-41,-26.523204,82.528365,5.21444291,IDO1,"indoleamine 2,3-dioxygenase 1"
8006602,4.02E-44,1.61E-46,-31.957599,95.833637,5.20743277,CCL4,C-C motif chemokine ligand 4
7979269,1.76E-55,1.37E-58,-46.532749,123.418183,5.0528694,GCH1,GTP cyclohydrolase 1
8048717,4.35E-60,1.22E-63,-54.272085,134.820004,4.94920001,SGPP2,sphingosine-1-phosphate phosphatase 2
7922976,1.69E-42,7.94E-45,-30.276398,91.939281,4.94157792,PTGS2,prostaglandin-endoperoxide synthase 2
8096361,4.90E-49,9.09E-52,-37.694868,107.870927,4.87897536,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
7969482,3.81E-29,9.39E-31,-18.853481,59.447927,4.80297586,ACOD1,aconitate decarboxylase 1
7967117,5.34E-61,9.90E-65,-56.097765,137.269814,4.78434155,OASL,2'-5'-oligoadenylate synthetase like
8048864,2.33E-42,1.11E-44,-30.136281,91.60627,4.64885886,CCL20,C-C motif chemokine ligand 20
7902541,1.37E-30,2.89E-32,-19.896657,62.945526,4.54002631,IFI44L,interferon induced protein 44 like
7929052,3.56E-38,2.69E-40,-26.137504,81.499483,4.43249955,IFIT3,interferon induced protein with tetratricopeptide repeats 3
7917576,2.48E-52,3.22E-55,-41.95183,115.751284,4.42466286,GBP5,guanylate binding protein 5
8095343,1.02E-32,1.61E-34,-21.523159,68.156296,4.41403496,STAP1,signal transducing adaptor family member 1
8083594,5.60E-35,6.38E-37,-23.359878,73.708404,4.41270136,PTX3,pentraxin 3
8088285,2.08E-55,1.85E-58,-46.346813,123.121597,4.41047784,HESX1,HESX homeobox 1
8006608,1.96E-46,5.17E-49,-34.579556,101.559268,4.36960878,CCL4L1///CCL4L2///CCL4///CCL4L1,C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8092169,4.47E-47,1.04E-49,-35.342609,103.152034,4.29987785,TNFSF10,tumor necrosis factor superfamily member 10
8071155,3.51E-55,3.25E-58,-45.99909,122.563801,4.25809973,USP18,ubiquitin specific peptidase 18
8094240,1.84E-48,3.68E-51,-36.987307,106.480753,4.21374817,CD38,CD38 molecule
7931914,5.85E-34,7.82E-36,-22.513846,71.192957,4.12570455,IL2RA,interleukin 2 receptor subunit alpha
8021470,4.24E-46,1.16E-48,-34.197542,100.749846,4.11913568,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
8068022,1.08E-34,1.29E-36,-23.119934,73.002091,4.11730277,MIR155///MIR155HG,microRNA 155///MIR155 host gene
8014316,2.75E-36,2.67E-38,-24.465234,76.891935,4.09012466,CCL5,C-C motif chemokine ligand 5
7912145,1.74E-39,1.17E-41,-27.330953,84.643953,4.0802092,TNFRSF9,TNF receptor superfamily member 9
8131666,9.10E-32,1.67E-33,-20.778587,65.806608,4.06804015,ITGB8,integrin subunit beta 8
7995783,5.67E-52,7.57E-55,-41.473743,114.905049,4.0286131,MT2A,metallothionein 2A
8144802,7.56E-68,5.60E-72,-69.799765,153.366283,4.02184647,PDGFRL,platelet derived growth factor receptor like
8068713,3.78E-33,5.59E-35,-21.866117,69.218927,3.89519244,MX1,MX dynamin like GTPase 1
8180397,2.96E-56,2.08E-59,-47.711384,125.271505,3.85815441,,
8160559,2.05E-56,1.22E-59,-48.052197,125.79899,3.8315687,DDX58,DEXD/H-box helicase 58
8171105,4.81E-29,1.20E-30,-18.782265,59.204545,3.83104583,CRLF2///CRLF2,cytokine receptor-like factor 2///cytokine receptor-like factor 2
7937335,1.86E-35,2.00E-37,-23.758755,74.870382,3.81823603,IFITM1,interferon induced transmembrane protein 1
7906613,9.28E-44,3.85E-46,-31.574265,94.961758,3.81443985,SLAMF7,SLAM family member 7
8139207,5.09E-38,3.96E-40,-25.993616,81.112486,3.79494245,INHBA///INHBA,inhibin beta A subunit///inhibin beta A subunit
8004024,5.42E-34,7.23E-36,-22.539849,71.271321,3.78954435,GP1BA,glycoprotein Ib platelet alpha subunit
7917516,2.94E-59,9.80E-63,-52.802074,132.785615,3.73437458,GBP1P1///GBP3///GBP1,guanylate binding protein 1 pseudogene 1///guanylate binding protein 3///guanylate binding protein 1
8102594,1.95E-25,7.51E-27,-16.321417,50.417312,3.71778974,TNIP3,TNFAIP3 interacting protein 3
7902553,5.89E-41,3.19E-43,-28.753321,88.246013,3.69559579,IFI44,interferon induced protein 44
8006453,9.03E-36,9.34E-38,-24.024182,75.635299,3.68988358,CCL8,C-C motif chemokine ligand 8
8163825,2.36E-45,7.86E-48,-33.313994,98.84605,3.64510736,TRAF1,TNF receptor associated factor 1
8096335,6.84E-50,1.17E-52,-38.755546,109.910021,3.61794202,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
7922337,1.38E-42,6.33E-45,-30.372137,92.166055,3.61107529,TNFSF18,tumor necrosis factor superfamily member 18
8180396,1.61E-55,1.19E-58,-46.61851,123.554588,3.56377588,,
8000574,4.29E-36,4.30E-38,-24.296728,76.413937,3.53545097,NUPR1,"nuclear protein 1, transcriptional regulator"
8162531,3.99E-61,5.91E-65,-56.479143,137.771249,3.53172575,,
8129953,8.51E-51,1.32E-53,-39.908832,112.068579,3.5085929,HIVEP2,human immunodeficiency virus type I enhancer binding protein 2
8117034,7.12E-44,2.88E-46,-31.70188,95.253044,3.50388242,GMPR,guanosine monophosphate reductase
8138941,1.25E-52,1.58E-55,-42.353516,116.455176,3.5000302,NT5C3A,"5'-nucleotidase, cytosolic IIIA"
7917283,1.60E-36,1.50E-38,-24.670292,77.47015,3.47204771,MCOLN2,mucolipin 2
7990818,7.06E-34,9.58E-36,-22.446333,70.989183,3.45771124,BCL2A1,BCL2 related protein A1
8103601,1.32E-50,2.15E-53,-39.650177,111.589626,3.42718493,DDX60L,DEAD-box helicase 60-like
7943715,4.61E-45,1.66E-47,-32.974504,98.102473,3.37112225,ZC3H12C,zinc finger CCCH-type containing 12C
8050102,6.53E-52,8.96E-55,-41.380218,114.738417,3.36512811,CMPK2,cytidine/uridine monophosphate kinase 2
7921434,6.67E-45,2.47E-47,-32.793068,97.702269,3.3495639,AIM2,absent in melanoma 2
8095728,8.51E-51,1.29E-53,-39.921561,112.092073,3.34319744,EREG,epiregulin
8068697,8.08E-39,5.75E-41,-26.719055,83.046139,3.34099218,MX2,MX dynamin like GTPase 2
8014160,5.59E-29,1.40E-30,-18.73522,59.043437,3.34060365,CCL1,C-C motif chemokine ligand 1
8112668,7.77E-42,3.97E-44,-29.60389,90.328647,3.33732257,GCNT4,"glucosaminyl (N-acetyl) transferase 4, core 2"
8118142,1.36E-46,3.53E-49,-34.759855,101.938481,3.3315195,TNF,tumor necrosis factor
8075695,2.31E-45,7.60E-48,-33.32896,98.878672,3.31948242,APOL3,apolipoprotein L3
8163618,1.59E-40,9.10E-43,-28.332836,87.197045,3.31640659,TNFSF15,tumor necrosis factor superfamily member 15
8115570,3.17E-24,1.42E-25,-15.537827,47.460687,3.26154579,IL12B,interleukin 12B
8017262,1.15E-36,1.06E-38,-24.79574,77.82202,3.19648984,BRIP1,BRCA1 interacting protein C-terminal helicase 1
8056285,3.23E-50,5.39E-53,-39.161204,110.676085,3.19060664,IFIH1,interferon induced with helicase C domain 1
8052331,1.47E-44,5.66E-47,-32.421582,96.876672,3.17824065,PNPT1,polyribonucleotide nucleotidyltransferase 1
8021635,1.21E-21,7.37E-23,-13.938225,41.18253,3.16520967,SERPINB2,serpin family B member 2
8024792,3.83E-31,7.71E-33,-20.302292,64.272141,3.14246604,EBI3,Epstein-Barr virus induced 3
8122265,2.80E-36,2.73E-38,-24.457058,76.868803,3.10878462,TNFAIP3,TNF alpha induced protein 3
